Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-11-19 08:52:27,false,"Treadmill Running","10.03","643","00:47:08","153","162","3.9","165","181","4:42","4:18","--","--","1.27","7.9","10.1","259","--","360","0.0","360","433","24.0","No","00:04:03.5","10","28.0","00:47:06","00:47:08","--","--"
Treadmill Running,2024-11-16 10:18:09,false,"Treadmill Running","12.55","813","00:59:51","153","163","4.2","165","180","4:46","4:28","--","--","1.24","8.0","9.9","260","--","351","0.0","350","398","24.0","No","00:00:50.5","13","29.0","00:59:44","00:59:51","--","--"
Treadmill Running,2024-11-14 08:38:23,false,"Treadmill Running","5.02","240","00:24:17","128","142","2.1","168","180","4:50","4:21","--","--","1.23","7.9","9.7","255","--","355","0.0","354","405","23.0","No","00:00:04.0","6","25.0","00:24:17","00:24:19","--","--"
Treadmill Running,2024-11-13 08:40:40,false,"Treadmill Running","7.27","483","00:36:13","150","162","3.6","164","179","4:59","4:32","--","--","1.22","8.1","9.9","262","--","348","0.0","346","403","24.0","No","00:01:22.2","8","28.0","00:36:09","00:36:13","--","--"
Treadmill Running,2024-11-09 12:57:24,false,"Treadmill Running","8.07","508","00:38:38","149","165","3.7","170","195","4:47","4:15","--","--","1.23","7.8","9.6","251","--","357","0.0","356","434","26.0","No","00:00:19.1","9","29.0","00:38:36","00:38:38","--","--"
Treadmill Running,2024-11-02 09:54:28,false,"Treadmill Running","5.71","355","00:27:25","150","169","3.3","163","180","4:48","4:33","--","--","1.21","8.1","9.8","262","--","342","0.0","333","400","26.0","No","00:01:36.0","6","29.0","00:26:33","00:27:25","--","--"
Running,2024-10-27 08:46:31,false,"Venice Running","21.18","1,313","01:46:40","145","173","5.0","172","191","5:02","3:58","46","50","1.15","7.9","9.0","251","5:02","353","0.0","349","469","--","No","00:01:00.0","22","--","01:46:36","01:46:40","-1","12"
Treadmill Running,2024-10-22 06:58:50,false,"Treadmill Running","7.00","447","00:35:04","153","167","3.5","165","179","5:01","4:39","--","--","1.21","8.1","9.8","261","--","346","0.0","343","376","25.0","No","00:04:55.5","7","29.0","00:34:52","00:35:04","--","--"
Treadmill Running,2024-10-20 06:37:01,false,"Treadmill Running","5.87","292","00:29:32","134","156","2.4","168","179","5:02","4:38","--","--","1.18","7.8","9.2","264","--","343","0.0","335","390","24.0","No","00:04:43.0","6","28.0","00:29:31","00:29:32","--","--"
Treadmill Running,2024-10-16 06:22:01,false,"Treadmill Running","5.05","313","00:25:42","147","166","3.0","162","181","5:05","4:30","--","--","1.21","8.1","9.9","269","--","342","0.0","337","394","27.0","No","00:00:19.0","6","29.0","00:25:40","00:25:42","--","--"
Treadmill Running,2024-10-14 15:50:02,false,"Treadmill Running","12.23","784","01:00:54","156","175","4.0","165","182","4:59","4:32","--","--","1.21","8.1","9.8","261","--","346","0.0","345","401","26.0","No","00:01:08.8","13","29.0","01:00:52","01:00:54","--","--"
Treadmill Running,2024-10-10 08:42:09,false,"Treadmill Running","8.01","536","00:39:53","160","173","3.9","167","178","4:59","4:22","--","--","1.22","7.9","9.7","260","--","347","0.0","344","414","25.0","No","00:00:04.8","9","29.0","00:39:36","00:39:53","--","--"
Treadmill Running,2024-10-08 16:21:26,false,"Treadmill Running","10.51","613","00:52:29","147","157","3.3","164","179","5:00","4:41","--","--","1.22","8.1","10.0","264","--","345","0.0","345","373","27.0","No","00:02:31.2","11","29.0","00:52:27","00:52:29","--","--"
Treadmill Running,2024-10-05 10:59:14,false,"Treadmill Running","8.86","541","00:47:54","149","168","3.6","155","233","5:24","4:37","--","--","1.19","8.0","9.5","276","--","330","0.0","313","417","26.0","No","00:04:44.1","9","29.0","00:46:53","00:47:54","--","--"
Treadmill Running,2024-10-04 10:14:27,false,"Treadmill Running","7.85","366","00:40:37","130","161","2.3","162","188","5:10","4:38","--","--","1.22","8.3","10.0","268","--","339","0.0","334","390","23.0","No","00:04:46.3","8","28.0","00:39:48","00:48:09","--","--"
